container_id,iso_type,light_status,damage_status,terminal,plot,in_yard
SEGU2449350,22R1,yellow,hole,Ubungo ICD,E02-1-4,True
MSCU0524278,22P1,yellow,rust,TICTS Container Terminal,B05-5-1,True
TCLU8262047,22T1,yellow,dent,TICTS Container Terminal,F07-6-2,True
ONEU8692323,45G1,yellow,none,TPA ICD Kurasini,G08-3-2,True
MAEU6073378,22T1,green,none,TPA Berth 1-7 (General Cargo),D01-6-2,True
PCIU1458683,22T1,red,none,TPA ICD Kurasini,C19-3-1,False
TGHU5569810,22U1,yellow,none,TICTS Container Terminal,G01-5-2,True
MAEU5951484,45R1,yellow,rust,TPA ICD Kurasini,C07-4-4,True
CMAU9946800,45R1,green,none,Ubungo ICD,F15-4-4,True
SEGU7214894,22T1,green,none,TPA Berth 1-7 (General Cargo),E08-2-2,False
HLCU7917690,22R1,yellow,rust,Ubungo ICD,D05-6-1,True
MAEU6328709,22P1,green,none,TICTS Container Terminal,H05-4-3,True
OOLU9868721,42U1,green,none,TPA Berth 1-7 (General Cargo),E17-4-2,True
MAEU4345585,42G1,green,none,TPA Berth 1-7 (General Cargo),G05-6-2,False
TGHU5876035,22U1,green,none,TICTS Container Terminal,G16-1-3,True
TGHU6889377,22R1,green,none,Ubungo ICD,A13-3-4,True
OOLU2980690,45G0,yellow,none,Ubungo ICD,C15-2-1,True
ONEU3755645,22U1,green,none,TICTS Container Terminal,H01-6-1,True
ONEU3100334,22G1,yellow,none,Ubungo ICD,B19-2-4,True
ONEU2991245,42G1,green,none,TPA ICD Kurasini,G13-6-2,False
HLCU1491904,22T1,green,none,TPA ICD Kurasini,B17-6-3,False
TGHU7165720,22U1,green,none,TPA ICD Kurasini,H15-4-3,True
HLCU1473794,45G0,yellow,rust,Ubungo ICD,F06-4-2,True
PCIU5494800,22P1,red,none,Ubungo ICD,H18-2-4,True
OOLU7014364,22R1,green,none,TPA ICD Kurasini,H18-5-3,True
SEGU5574443,22R1,green,none,TPA Berth 1-7 (General Cargo),F04-6-2,False
OOLU4989417,22R1,green,none,TPA ICD Kurasini,C10-1-2,True
MSCU8427103,45G0,green,none,Ubungo ICD,H11-2-1,True
