ticket_id,ticket_type,timestamp,plate,container_id,iso_type,release_order_id,decision,notes
GIN-20260802-AA0211,GATE_IN,2026-08-02T09:35:47,T 632 CUB,MSMU1055283,22G1,RO-2026-1060,ALLOW,TRANSIT to DR Congo
GIN-20260802-06B271,GATE_IN,2026-08-02T09:50:28,T 632 CUB,MSMU1055283,22G1,RO-2026-1060,ALLOW,TRANSIT to DR Congo
GIN-20260802-E755DB,GATE_IN,2026-08-02T10:43:40,T 632 CUB,MSMU1055283,22G1,RO-2026-1060,ALLOW,TRANSIT to DR Congo
GIN-20260802-A07985,GATE_IN,2026-08-02T10:52:26,T 120 DKM,HLXU8842091,45G1,RO-2026-1072,ALLOW,NEARBY delivery (Pwani (Coast))
GIN-20260802-C188F4,GATE_IN,2026-08-02T11:06:29,T 806 EMZ,TCPU4566687,45G1,RO-2026-1065,ALLOW,UPCOUNTRY (Dodoma)
GIN-20260802-D84A51,GATE_IN,2026-08-02T11:07:11,T 804 EPV,ZCSU7057271,45G1,RO-2026-1064,ALLOW,TRANSIT to Rwanda
GIN-20260802-47F9B7,GATE_IN,2026-08-02T11:08:54,T 903 EGY,MSBU5286137,45G1,RO-2026-1062,ALLOW,NEARBY delivery (Dar es Salaam)
GIN-20260802-6646E8,GATE_IN,2026-08-02T17:27:37,T 464 BGV,BEAU6030859,45G1,RO-2026-1068,ALLOW,TRANSIT to Burundi
GIN-20260802-DBFCAB,GATE_IN,2026-08-02T17:46:42,T 464 BGV,BEAU6030859,45G1,RO-2026-1068,ALLOW,TRANSIT to Burundi
GIN-20260802-87F4D2,GATE_IN,2026-08-02T17:59:26,T 464 BGV,BEAU6030859,45G1,RO-2026-1068,ALLOW,TRANSIT to Burundi
USE-20260802-2FB14C,TICKET_USED,2026-08-02T17:59:43,T 464 BGV,BEAU6030859,45G1,RO-2026-1068,USED,used ticket GIN-20260802-87F4D2
GIN-20260802-AEE8F1,GATE_IN,2026-08-02T18:12:53,T 464 BGV,BEAU6030859,45G1,RO-2026-1068,ALLOW,TRANSIT to Burundi
USE-20260802-2C54D6,TICKET_USED,2026-08-02T18:13:00,T 464 BGV,BEAU6030859,45G1,RO-2026-1068,USED,used ticket GIN-20260802-AEE8F1
GOUT-20260802-74DB0E,GATE_OUT,2026-08-02T18:13:29,T464BGV,BEAU6030859,45G1,RO-2026-1068,ALLOW,from gate-in GIN-20260802-AEE8F1
GIN-20260802-E69E9E,GATE_IN,2026-08-02T21:03:18,T 632 CUB,MSMU1055283,22G1,RO-2026-1060,ALLOW,TRANSIT to DR Congo
GIN-20260802-43E169,GATE_IN,2026-08-02T21:04:23,T 632 CUB,MSMU1055283,22G1,RO-2026-1060,ALLOW,TRANSIT to DR Congo
GIN-20260802-C040C6,GATE_IN,2026-08-02T21:09:07,T 120 DKM,HLXU8842091,45G1,RO-2026-1072,ALLOW,NEARBY delivery (Pwani (Coast))
GIN-20260802-3F0539,GATE_IN,2026-08-02T21:12:52,T 120 DKM,HLXU8842091,45G1,RO-2026-1072,ALLOW,NEARBY delivery (Pwani (Coast))
GIN-20260802-660BA5,GATE_IN,2026-08-02T21:12:55,T 120 DKM,HLXU8842091,45G1,RO-2026-1072,ALLOW,NEARBY delivery (Pwani (Coast))
GIN-20260803-3F84AB,GATE_IN,2026-08-03T15:42:16,T 632 CUB,MSMU1055283,22G1,RO-2026-1060,ALLOW,TRANSIT to DR Congo
GIN-20260803-1E1493,GATE_IN,2026-08-03T15:55:10,T 632 CUB,MSMU1055283,22G1,RO-2026-1060,ALLOW,TRANSIT to DR Congo
USE-20260803-7C4605,TICKET_USED,2026-08-03T15:56:21,T 632 CUB,MSMU1055283,22G1,RO-2026-1060,USED,used ticket GIN-20260803-1E1493
