tin,importer_name,region,delivery_country,nearby_county,is_transit
181-214-125,Bakhresa Group Ltd,Dodoma,DR Congo,False,True
128-242-854,MeTL Trading Co,Pwani (Coast),Malawi,False,True
111-704-532,Azania Logistics Ltd,Dar es Salaam,Tanzania,True,False
111-323-338,Kilimanjaro Imports Ltd,Kigoma,Tanzania,False,False
171-303-833,Serengeti Distributors,Kigoma,Rwanda,False,True
128-559-703,Tanga Cement Traders,Dodoma,Tanzania,False,False
197-925-263,Coastal Hardware Co,Mwanza,Burundi,False,True
135-259-320,Uhuru Motors Ltd,Arusha,Tanzania,False,False
111-489-199,Zanzibar Spice Importers,Arusha,Burundi,False,True
177-370-926,Mwanza Agro Supplies,Dar es Salaam,Uganda,False,True
168-227-487,Mbeya Highland Traders,Pwani (Coast),Malawi,False,True
137-949-743,Dodoma Steel Ltd,Mtwara,Burundi,False,True
173-296-821,Kariakoo General Merchants,Pwani (Coast),Tanzania,True,False
184-333-891,Nyerere Electronics Ltd,Dodoma,Tanzania,False,False
129-987-203,Tanzanite Freight Ltd,Mwanza,Zambia,False,True
158-750-954,Indian Ocean Trading,Arusha,Tanzania,False,False
147-463-314,Selous Commodities,Dodoma,Tanzania,False,False
177-750-275,Ruvuma Farm Inputs,Kigoma,DR Congo,False,True
120-573-488,Kigamboni Builders Ltd,Dodoma,Malawi,False,True
128-801-432,Great Lakes Transit Co,Dar es Salaam,DR Congo,False,True
