release_order_id,container_id,iso_type,importer_tin,importer_name,declared_plate,ro_status,customs_cleared,payment_status,movement_type
RO-2026-1000,OOLU7221700,45R1,129-987-203,Tanzanite Freight Ltd,T 773 UUS,pending,False,paid,return
RO-2026-1001,ONEU0643174,42G1,111-323-338,Kilimanjaro Imports Ltd,T 651 JZU,pending,False,unpaid,pickup
RO-2026-1002,TGHU5876035,22U1,120-573-488,Kigamboni Builders Ltd,T 833 LHJ,processed,True,unpaid,pickup
RO-2026-1003,MSCU0343243,45R1,111-323-338,Kilimanjaro Imports Ltd,T 187 ZRC,pending,False,paid,pickup
RO-2026-1004,OOLU5626360,22P1,147-463-314,Selous Commodities,T 371 QKP,pending,False,paid,pickup
RO-2026-1005,TGHU6889377,22R1,147-463-314,Selous Commodities,T 653 ACH,processed,False,paid,return
RO-2026-1006,TCLU3867740,45G0,177-370-926,Mwanza Agro Supplies,T 680 YLG,processed,True,unpaid,pickup
RO-2026-1007,HLCU1473794,45G0,120-573-488,Kigamboni Builders Ltd,T 324 ESR,processed,True,paid,return
RO-2026-1008,MSCU7581813,45R1,128-242-854,MeTL Trading Co,T 324 ESR,on-hold,False,paid,pickup
RO-2026-1009,MAEU9380260,45G1,177-370-926,Mwanza Agro Supplies,T 653 ACH,processed,True,unpaid,return
RO-2026-1010,PCIU6584046,45R1,184-333-891,Nyerere Electronics Ltd,T 761 DBN,on-hold,False,paid,pickup
RO-2026-1011,SEGU2449350,22R1,173-296-821,Kariakoo General Merchants,T 294 TQE,processed,True,unpaid,pickup
RO-2026-1012,CMAU6217451,45G0,137-949-743,Dodoma Steel Ltd,T 111 XZD,processed,True,unpaid,pickup
RO-2026-1013,ONEU4599104,45G1,135-259-320,Uhuru Motors Ltd,T 941 BLN,pending,False,paid,pickup
RO-2026-1014,PCIU8467732,42U1,177-750-275,Ruvuma Farm Inputs,T 318 NBF,processed,True,paid,pickup
RO-2026-1015,OOLU8207157,42G1,137-949-743,Dodoma Steel Ltd,T 369 SFS,processed,True,unpaid,pickup
RO-2026-1016,MSCU9134310,22U1,128-242-854,MeTL Trading Co,T 653 ACH,processed,True,paid,pickup
RO-2026-1017,HLCU1839332,22T1,197-925-263,Coastal Hardware Co,T 324 ESR,processed,False,unpaid,return
RO-2026-1018,HLCU6851602,45R1,128-242-854,MeTL Trading Co,T 873 ZYG,pending,False,paid,pickup
RO-2026-1019,CMAU2583133,45G1,135-259-320,Uhuru Motors Ltd,T 833 LHJ,processed,True,paid,pickup
RO-2026-1020,MSCU0524278,22P1,147-463-314,Selous Commodities,T 172 YWB,processed,True,unpaid,pickup
RO-2026-1021,ONEU0047977,45R1,120-573-488,Kigamboni Builders Ltd,T 656 YKV,pending,False,paid,pickup
RO-2026-1022,MAEU5280982,22P1,177-370-926,Mwanza Agro Supplies,T 369 SFS,on-hold,False,unpaid,pickup
RO-2026-1023,OOLU1473216,22G1,184-333-891,Nyerere Electronics Ltd,T 980 LCS,processed,True,unpaid,return
