plate,transporter,trailer_type,verified
T 941 BLN,Coastal Truckers Ltd,20ft skeletal,True
T 680 YLG,Simba Movers Ltd,40ft skeletal,True
T 758 QEJ,Express Cargo Movers,20ft skeletal,True
T 651 JZU,Kibo Freight Lines,flatbed,True
T 324 ESR,Nyamburi Transport,20ft skeletal,True
T 256 WFX,Kibo Freight Lines,flatbed,False
T 490 VQS,Coastal Truckers Ltd,flatbed,True
T 111 XZD,Coastal Truckers Ltd,flatbed,True
T 400 PFQ,Super Doll Trailer Mfg,flatbed,True
T 369 SFS,Nyamburi Transport,flatbed,True
T 754 SVG,Express Cargo Movers,40ft skeletal,True
T 652 SAV,Central Corridor Logistics,40ft skeletal,False
T 471 KHB,Mwakatobe Haulage,flatbed,True
T 187 ZRC,Express Cargo Movers,20ft skeletal,True
T 662 FJS,Kibo Freight Lines,20ft skeletal,True
T 873 ZYG,Coastal Truckers Ltd,40ft skeletal,True
T 765 MQS,Simba Movers Ltd,20ft skeletal,True
T 165 LAU,Mwakatobe Haulage,flatbed,True
T 172 YWB,Mwakatobe Haulage,20ft skeletal,True
T 980 LCS,Mwakatobe Haulage,40ft skeletal,True
T 319 TEZ,Simba Movers Ltd,20ft skeletal,True
T 926 PGD,Nyamburi Transport,flatbed,True
T 533 PQZ,Super Doll Trailer Mfg,flatbed,True
T 761 DBN,Central Corridor Logistics,20ft skeletal,True
T 294 TQE,Kibo Freight Lines,20ft skeletal,True
T 355 CQT,Nyamburi Transport,20ft skeletal,True
T 653 ACH,Express Cargo Movers,40ft skeletal,True
T 318 NBF,Kibo Freight Lines,20ft skeletal,True
T 371 QKP,Simba Movers Ltd,20ft skeletal,True
T 322 BUZ,Super Doll Trailer Mfg,flatbed,True
T 151 URS,Express Cargo Movers,20ft skeletal,True
T 182 FCV,Nyamburi Transport,flatbed,True
T 513 DUH,Super Doll Trailer Mfg,flatbed,False
T 773 UUS,Central Corridor Logistics,40ft skeletal,True
T 833 LHJ,Kibo Freight Lines,20ft skeletal,True
T 407 QLC,Super Doll Trailer Mfg,40ft skeletal,True
T 676 DCT,Mwakatobe Haulage,flatbed,True
T 457 CHM,Coastal Truckers Ltd,20ft skeletal,True
T 656 YKV,Super Doll Trailer Mfg,flatbed,True
T 406 XDE,Coastal Truckers Ltd,20ft skeletal,True
T 632 CUB,Hauler CUB Ltd,20ft skeletal,True
T 467 EJP,Hauler EJP Ltd,40ft skeletal,True
T 903 EGY,Hauler EGY Ltd,40ft skeletal,True
T 862 EPV,Hauler EPV Ltd,20ft skeletal,True
T 804 EPV,Hauler EPV Ltd,40ft skeletal,True
T 806 EMZ,Hauler EMZ Ltd,40ft skeletal,True
T 865 PEG,Hauler PEG Ltd,20ft skeletal,True
T 871 AMK,Hauler AMK Ltd,40ft skeletal,True
T 464 BGV,Hauler BGV Ltd,40ft skeletal,True
T 996 EQF,Hauler EQF Ltd,20ft skeletal,True
T 902 ASV,Hauler ASV Ltd,40ft skeletal,True
T 456 BDA,Hauler BDA Ltd,40ft skeletal,True
T 120 DKM,Hauler DKM Ltd,40ft skeletal,True
T 763 EER,Hauler EER Ltd,20ft skeletal,True
T 456 EFE,Hauler EFE Ltd,40ft skeletal,True
T 123 DKM,Hauler DKM Ltd,20ft skeletal,True
